iter	RMSE
461	89084.1269
462	89046.02343
463	89021.60432
464	88990.59032
465	88946.83052
466	88919.41144
467	88895.10761
468	88854.15509
469	88802.52562
470	88776.955
471	88758.89265
472	88739.91985
473	88712.01361
474	88663.14776
475	88612.85477
476	88577.84874
477	88530.50379
478	88503.66434
479	88475.27418
480	88450.82955
481	88427.0424
482	88407.80145
483	88385.35023
484	88358.08755
485	88340.82657
486	88320.53079
487	88297.06249
488	88276.41656
489	88261.65752
490	88241.72366
491	88221.351
492	88178.02539
493	88164.90867
494	88143.09183
495	88115.0001
496	88089.10842
497	88073.29024
498	88055.32435
499	88029.55658
500	88014.16235
501	87976.50937
502	87943.64095
503	87929.42667
504	87908.42056
505	87893.36777
506	87874.30047
507	87834.46842
508	87807.26902
509	87790.32432
510	87758.6697
511	87734.20849
512	87705.55128
513	87687.581
514	87669.78661
515	87649.628
516	87622.57918
517	87598.01528
518	87560.78968
519	87540.38314
520	87494.98149
521	87471.26515
522	87451.25512
523	87430.95619
524	87418.46856
525	87385.20352
526	87362.40768
527	87329.45538
528	87304.41571
529	87261.48265
530	87224.42125
531	87211.0231
532	87184.3056
533	87147.51725
534	87124.36816
535	87103.15418
536	87066.88387
537	87047.73486
538	87028.17221
539	86986.68019
540	86969.59887
541	86930.23517
542	86900.4348
543	86875.92977
544	86834.45711
545	86817.83524
546	86801.81924
547	86773.35682
548	86743.49188
549	86722.62786
550	86698.47581
551	86667.60946
552	86659.19652
553	86622.05072
554	86600.26986
555	86585.70611
556	86564.88821
557	86537.27614
558	86504.5786
559	86484.17473
560	86437.31715
561	86411.04966
562	86375.07139
563	86325.34773
564	86301.01801
565	86282.02823
566	86255.80412
567	86235.12276
568	86205.47123
569	86178.45807
570	86146.70368
571	86107.43617
572	86075.04782
573	86038.94055
574	86011.7319
575	85999.85547
576	85982.93789
577	85952.90414
578	85934.65569
579	85899.16891
580	85877.04008
581	85850.96842
582	85828.3071
583	85807.94253
584	85777.07817
585	85747.3384
586	85725.45642
587	85705.80166
588	85677.93291
589	85652.51687
590	85633.80558
591	85611.34531
592	85580.6551
593	85540.43957
594	85514.2824
595	85494.97053
596	85459.75399
597	85426.66902
598	85414.01399
599	85373.7718
600	85356.05829
601	85318.26984
602	85308.23466
603	85281.60471
604	85253.78676
605	85214.95516
606	85192.26552
607	85171.92871
608	85150.56143
609	85120.04001
610	85099.38808
611	85083.55775
612	85058.5014
613	85037.21815
614	85017.77609
615	85000.83806
616	84975.16424
617	84959.54461
618	84943.28503
619	84919.15778
620	84893.65158
621	84876.31158
622	84858.38961
623	84827.46445
624	84802.09361
625	84781.87503
626	84754.49892
627	84736.8421
628	84710.62932
629	84677.31732
630	84641.80691
631	84605.97268
632	84584.64925
633	84556.62102
634	84530.19759
635	84507.43057
636	84470.41119
637	84444.03356
638	84416.89336
639	84395.1969
640	84369.22678
641	84357.36402
642	84331.35599
643	84297.10941
644	84277.96398
645	84241.22624
646	84213.83095
647	84169.79723
648	84145.25117
649	84127.04588
650	84091.28177
651	84063.18431
652	84039.95072
653	84015.10609
654	83985.91561
655	83950.65274
656	83924.27967
657	83904.65066
658	83877.87659
659	83858.67644
660	83825.79425
661	83814.5187
662	83797.00701
663	83778.19376
664	83750.79465
665	83727.7373
666	83695.92064
667	83672.44662
668	83647.82525
669	83622.99822
670	83609.95808
671	83585.83633
672	83567.19324
673	83548.54826
674	83534.92948
675	83526.47892
676	83508.19727
677	83472.69783
678	83452.42599
679	83429.76197
680	83402.27602
681	83388.16852
682	83365.56422
683	83346.65113
684	83315.0513
685	83296.66238
686	83272.60018
687	83244.04976
688	83217.92083
689	83190.52547
690	83166.25267
691	83152.85343
692	83127.60938
693	83116.93991
694	83087.91105
695	83054.94879
696	83033.59554
697	83016.36692
698	82986.74298
699	82972.51234
700	82955.54688
701	82935.329
702	82901.74347
703	82875.60115
704	82855.69425
705	82827.91062
706	82813.00488
707	82793.4249
708	82756.03769
709	82729.61542
710	82717.74775
711	82701.94195
712	82676.7318
713	82649.28615
714	82629.64241
715	82589.10959
716	82573.80739
717	82557.70176
718	82526.82468
719	82498.4439
720	82470.31147
721	82450.75553
722	82433.73732
723	82411.23902
724	82397.96514
725	82376.72415
726	82349.18455
727	82330.6875
728	82294.16683
729	82273.36907
730	82257.3625
731	82240.1869
732	82217.91135
733	82194.34587
734	82167.69959
735	82148.70504
736	82112.69551
737	82091.72254
738	82070.69537
739	82044.66611
740	82028.14869
741	82002.18263
742	81973.3568
743	81954.43351
744	81936.16961
745	81912.24682
746	81891.61897
747	81868.41904
748	81851.25326
749	81816.78965
750	81785.9742
751	81772.52611
752	81750.7449
753	81736.19703
754	81715.06928
755	81693.87168
756	81662.32854
757	81646.34393
758	81617.95448
759	81603.77478
760	81594.65081
761	81570.36993
762	81550.03741
763	81529.72456
764	81518.79818
765	81491.36846
766	81470.53728
767	81451.55427
768	81435.79758
769	81415.66516
770	81395.84904
771	81379.65068
772	81365.98211
773	81346.74654
774	81324.35747
775	81295.33547
776	81271.14122
777	81256.97097
778	81233.27963
779	81218.34611
780	81192.67411
781	81157.51669
782	81144.5933
783	81134.77481
784	81107.4553
785	81096.38396
786	81061.60291
787	81028.85228
788	81010.62752
789	80965.89047
790	80946.42997
791	80919.46836
792	80898.18433
793	80876.74176
794	80849.81814
795	80837.86917
796	80811.8551
797	80794.72591
798	80778.48688
799	80756.26505
800	80742.7098
801	80725.192
802	80699.02102
803	80682.52969
804	80655.98272
805	80634.04898
806	80611.81509
807	80588.87364
808	80574.03209
809	80549.94169
810	80531.02446
811	80510.01609
812	80481.42303
813	80460.13696
814	80437.55968
815	80409.61322
816	80386.7836
817	80356.87328
818	80333.62239
819	80318.43524
820	80287.18359
821	80264.57045
822	80252.54386
823	80224.74006
824	80207.44417
825	80186.25641
826	80173.69061
827	80154.48327
828	80132.46946
829	80113.16839
830	80095.99559
831	80087.94903
832	80064.63755
833	80050.64613
834	80026.95421
835	80003.66391
836	79978.18613
837	79959.58579
838	79946.4954
839	79931.84427
840	79908.79842
841	79881.86052
842	79868.37356
843	79848.64183
844	79825.83166
845	79815.51508
846	79787.29807
847	79769.37721
848	79749.88461
849	79730.73429
850	79710.4542
851	79672.23265
852	79649.60494
853	79629.75811
854	79597.81062
855	79579.18467
856	79557.00229
857	79542.93852
858	79529.76864
859	79500.80325
860	79477.6243
861	79463.47033
862	79451.21545
863	79433.32062
864	79402.18888
865	79378.939
866	79360.29437
867	79339.28415
868	79308.14189
869	79291.5158
870	79268.74302
871	79244.23191
872	79218.35346
873	79188.99366
874	79177.81228
875	79156.4141
876	79134.15503
877	79113.85314
878	79094.41374
879	79077.13545
880	79059.27206
881	79023.68734
882	79007.29608
883	78992.22599
884	78975.34318
885	78950.65647
886	78933.7758
887	78911.43475
888	78894.51302
889	78879.86054
890	78860.31293
891	78836.16747
892	78819.75016
893	78800.58782
894	78779.10986
895	78766.82284
896	78750.38103
897	78726.4561
898	78705.19029
899	78685.0187
900	78660.36835
901	78643.89633
902	78632.09636
903	78601.32556
904	78587.19935
905	78570.80702
906	78556.91232
907	78539.75732
908	78528.52472
909	78495.70574
910	78470.83948
911	78456.6778
912	78439.246
913	78425.18601
914	78401.5046
915	78375.80392
916	78343.56751
917	78324.5262
918	78303.12045
919	78285.1399
920	78263.80501
921	78242.34379
922	78211.14663
923	78194.67479
924	78177.76957
925	78157.9922
926	78141.944
927	78124.32116
928	78105.40785
929	78088.7701
930	78068.01759
931	78047.07128
932	78022.53792
933	78000.07683
934	77979.8571
935	77964.65668
936	77943.18437
937	77926.65097
938	77908.15869
939	77886.63587
940	77867.20924
941	77841.32223
942	77806.26425
943	77790.80733
944	77761.83333
945	77743.255
946	77719.96833
947	77703.54701
948	77675.3734
949	77646.01622
950	77610.58266
951	77588.4394
952	77572.16071
953	77546.84164
954	77518.75627
955	77500.59694
956	77473.84671
957	77447.02488
958	77416.08314
959	77394.47028
960	77380.40002
961	77365.40369
962	77351.47979
963	77323.51572
964	77312.59251
965	77288.54945
966	77271.34016
967	77259.03018
968	77237.78785
969	77218.08259
970	77201.7202
971	77189.44629
972	77174.21445
973	77144.93359
974	77128.30405
975	77113.30259
976	77092.02653
977	77074.94889
978	77058.31641
979	77028.66767
980	77007.03466
981	76983.00365
982	76953.95421
983	76935.73783
984	76921.98992
985	76906.05616
986	76883.90719
987	76864.88215
988	76846.69877
989	76838.1594
990	76811.19314
991	76785.1316
992	76772.54217
993	76756.34411
994	76736.17423
995	76705.90677
996	76691.06069
997	76672.18867
998	76647.34593
999	76636.25204
